iter	Passed	Remaining
0	138	138663
1	140	70037
2	141	47072
3	143	35679
4	144	28783
5	146	24256
6	147	20918
7	148	18465
8	150	16539
9	151	15020
10	153	13772
11	154	12736
12	156	11851
13	157	11088
14	159	10443
15	160	9885
16	162	9396
17	164	8951
18	165	8549
19	167	8192
20	169	7881
21	170	7597
22	172	7337
23	174	7086
24	176	6879
25	178	6675
26	180	6488
27	181	6307
28	183	6153
29	185	5993
30	187	5855
31	188	5716
32	190	5595
33	192	5479
34	194	5364
35	196	5261
36	198	5158
37	199	5059
38	201	4969
39	202	4869
40	204	4785
41	206	4706
42	207	4622
43	209	4549
44	211	4482
45	212	4407
46	213	4338
47	215	4277
48	217	4212
49	218	4160
50	220	4106
51	221	4047
52	223	3996
53	225	3948
54	226	3899
55	228	3850
56	229	3793
57	231	3752
58	233	3716
59	234	3679
60	236	3644
61	238	3606
62	240	3575
63	242	3543
64	243	3507
65	245	3471
66	247	3439
67	248	3402
68	249	3367
69	250	3331
70	252	3304
71	253	3273
72	254	3238
73	256	3206
74	257	3179
75	259	3154
76	260	3125
77	262	3099
78	263	3072
79	265	3048
80	266	3021
81	267	2995
82	268	2965
83	269	2943
84	270	2916
85	272	2894
86	273	2869
87	274	2848
88	276	2827
89	277	2802
90	278	2780
91	279	2760
92	281	2744
93	282	2725
94	284	2706
95	285	2684
96	286	2665
97	288	2650
98	289	2633
99	290	2613
100	291	2596
101	292	2577
102	293	2557
103	294	2538
104	295	2520
105	296	2501
106	298	2489
107	299	2474
108	300	2457
109	302	2444
110	303	2433
111	305	2420
112	306	2403
113	307	2388
114	308	2377
115	310	2363
116	311	2348
117	312	2336
118	313	2321
119	314	2309
120	316	2300
121	317	2288
122	319	2277
123	321	2269
124	323	2261
125	324	2250
126	325	2238
127	326	2226
128	328	2215
129	329	2203
130	330	2194
131	332	2187
132	334	2179
133	336	2172
134	337	2160
135	338	2150
136	339	2140
137	340	2129
138	342	2120
139	343	2109
140	344	2100
141	345	2087
142	346	2078
143	348	2069
144	349	2059
145	350	2048
146	351	2037
147	352	2026
148	352	2015
149	353	2005
150	354	1995
151	355	1985
152	357	1976
153	358	1969
154	359	1960
155	361	1953
156	362	1945
157	363	1937
158	364	1928
159	365	1919
160	366	1908
161	367	1900
162	368	1892
163	369	1884
164	370	1875
165	371	1867
166	372	1860
167	373	1851
168	374	1843
169	375	1835
170	376	1826
171	377	1818
172	378	1810
173	379	1802
174	380	1793
175	381	1786
176	382	1778
177	383	1770
178	384	1763
179	385	1755
180	386	1748
181	387	1741
182	388	1734
183	389	1727
184	390	1720
185	391	1713
186	392	1707
187	393	1701
188	395	1696
189	396	1690
190	397	1684
191	398	1678
192	399	1671
193	400	1664
194	401	1657
195	402	1651
196	403	1645
197	404	1639
198	405	1632
199	406	1626
200	407	1620
201	408	1614
202	409	1607
203	410	1601
204	411	1595
205	412	1589
206	413	1583
207	414	1576
208	415	1571
209	416	1566
210	417	1560
211	418	1555
212	419	1549
